dataset,target,encoder,model,input_features,output_features,fit_encoder_time,score_encoder_time,fit_model_time,score_model_time,test_matthews,train_matthews,test_auc,train_auc,test_brier,train_brier
bridges.version2.arff,TYPE,TargetEncoder,SGDClassifier,12,12,0.9114246845245362,0.22345781326293945,0.0006905317306518555,9.920597076416016e-05,0.5809140330422644,0.7075285904197421,0.7753571428571429,0.8473433048433048,0.21106060606060603,0.1439339426121928
bridges.version2.arff,TYPE,TargetEncoder,LogisticRegression,12,12,0.9114246845245362,0.22345781326293945,0.0006789922714233399,0.0001397371292114258,0.637312355012124,0.8077226508634915,0.9270833333333334,0.9625684839851505,0.11777586865510363,0.07760725729518056
bridges.version2.arff,TYPE,TargetEncoder,SVC,12,12,0.9114246845245362,0.22345781326293945,0.0018563270568847656,0.00016133785247802735,0.6436260646801732,0.8042500447042318,0.9121428571428571,0.9694558404558405,0.1263476595822371,0.07616546984741954
bridges.version2.arff,TYPE,TargetEncoder,KNeighborsClassifier,12,12,0.9114246845245362,0.22345781326293945,0.0004597187042236328,0.0005988359451293945,0.6802946201715476,0.7156070191862496,0.8876785714285715,0.9433005698005699,0.13115757575757575,0.09459062962829173
bridges.version2.arff,TYPE,TargetEncoder,GaussianNB,12,12,0.9114246845245362,0.22345781326293945,0.0006921768188476562,0.00029125213623046873,0.6139736639265967,0.6530003547796179,0.9167857142857143,0.9250265475265473,0.1854402212826728,0.16119364510300277
bridges.version2.arff,TYPE,TargetEncoder,DecisionTreeClassifier,12,12,0.9114246845245362,0.22345781326293945,0.0005123376846313477,0.00010619163513183593,0.5870237024979239,0.8200609907762498,0.8132738095238095,0.9721780410947078,0.18259823753049284,0.060411164503509515
bridges.version2.arff,TYPE,TargetEncoder,GradientBoostingClassifier,12,12,0.9114246845245362,0.22345781326293945,0.32925598621368407,0.0005247354507446289,0.5940200597822873,1.0,0.8872619047619048,1.0,0.1884736053767178,1.9628634558913576e-07
bridges.version2.arff,TYPE,TargetEncoder,RandomForestClassifier,12,12,0.9114246845245362,0.22345781326293945,0.8121482372283936,0.043333029747009276,0.6445005892541429,1.0,0.903452380952381,1.0,0.12718924303030305,0.01755955411576298
bridges.version2.arff,TYPE,TargetEncoder,MLPClassifier,12,12,0.9114246845245362,0.22345781326293945,0.19903488159179689,0.00021598339080810546,0.6923946844706877,0.8877442889412972,0.9416666666666668,0.9913843132176465,0.11294290150621922,0.041337583513893175
bridges.version2.arff,TYPE,LeaveOneOutEncoder,SGDClassifier,12,12,0.9893149375915528,0.22818398475646973,0.0005468368530273437,0.00010020732879638672,0.7657142857142857,0.6351565267454434,0.8828571428571429,0.8165082880082881,0.11666666666666667,0.1864627242753304
bridges.version2.arff,TYPE,LeaveOneOutEncoder,LogisticRegression,12,12,0.9893149375915528,0.22818398475646973,0.000952911376953125,0.00013425350189208985,0.9836660026534076,0.7096191324643613,1.0,0.9304022705689372,0.0070635502335497855,0.10384383732245968
bridges.version2.arff,TYPE,LeaveOneOutEncoder,SVC,12,12,0.9893149375915528,0.22818398475646973,0.0019574642181396486,0.00011818408966064453,0.06750463065993545,0.783961719136703,0.5421428571428573,0.9489324872658205,0.4507561393436272,0.09933345365199106
bridges.version2.arff,TYPE,LeaveOneOutEncoder,KNeighborsClassifier,12,12,0.9893149375915528,0.22818398475646973,0.0004617214202880859,0.0005804777145385742,0.06571428571428571,0.7280056686316134,0.5414285714285715,0.9351134205300873,0.48654545454545445,0.10070340642271432
bridges.version2.arff,TYPE,LeaveOneOutEncoder,GaussianNB,12,12,0.9893149375915528,0.22818398475646973,0.0006911277770996094,0.00032215118408203126,0.029277002188455997,0.654641360237094,0.53,0.9017869291202624,0.5552519712470968,0.17025420294116975
bridges.version2.arff,TYPE,LeaveOneOutEncoder,DecisionTreeClassifier,12,12,0.9893149375915528,0.22818398475646973,0.0003855466842651367,0.00018472671508789061,0.11732496149340639,1.0,0.5349999999999999,1.0,0.38969696969696965,0.0
bridges.version2.arff,TYPE,LeaveOneOutEncoder,GradientBoostingClassifier,12,12,0.9893149375915528,0.22818398475646973,0.19715502262115478,0.00037229061126708984,0.16557425399357933,1.0,0.7841071428571429,1.0,0.31615006781236765,9.327483652743808e-08
bridges.version2.arff,TYPE,LeaveOneOutEncoder,RandomForestClassifier,12,12,0.9893149375915528,0.22818398475646973,0.8049694061279297,0.04327695369720459,0.09413080316240334,1.0,0.7235714285714285,1.0,0.2232085478787879,0.0009652683832436275
bridges.version2.arff,TYPE,LeaveOneOutEncoder,MLPClassifier,12,12,0.9893149375915528,0.22818398475646973,0.1999128580093384,0.00013823509216308593,-0.11633399734659244,0.8654320527885636,0.4471428571428572,0.9902478200811533,0.5245675583623192,0.047579279884455844
bridges.version2.arff,TYPE,WoeEncoder,SGDClassifier,12,12,1.0799179077148438,0.22983074188232422,0.0005225419998168945,9.5367431640625e-05,0.0,0.6375423948592969,0.5,0.8150768583268585,0.538030303030303,0.1824133078611767
bridges.version2.arff,TYPE,WoeEncoder,LogisticRegression,12,12,1.0799179077148438,0.22983074188232422,0.0010092496871948243,0.00013723373413085938,0.0,0.7444097900105244,0.5,0.9390818009151343,0.5546969696969696,0.09781749389803857
bridges.version2.arff,TYPE,WoeEncoder,SVC,12,12,1.0799179077148438,0.22983074188232422,0.0019276142120361328,0.00012602806091308594,0.40278065395108065,0.7755069960234248,0.6861904761904761,0.9585092160925495,0.32424240033332363,0.09288376534823377
bridges.version2.arff,TYPE,WoeEncoder,KNeighborsClassifier,12,12,1.0799179077148438,0.22983074188232422,0.0004517555236816406,0.0006294727325439453,0.0,0.7088315561646962,0.5,0.93648704998705,0.38481818181818184,0.09915094462305388
bridges.version2.arff,TYPE,WoeEncoder,GaussianNB,12,12,1.0799179077148438,0.22983074188232422,0.0006015777587890625,0.0003511190414428711,0.0,0.6563598089362677,0.5,0.8977574030907363,0.5819696969696968,0.164408707036794
bridges.version2.arff,TYPE,WoeEncoder,DecisionTreeClassifier,12,12,1.0799179077148438,0.22983074188232422,0.00037686824798583985,0.00011553764343261719,0.11732496149340639,1.0,0.5349999999999999,1.0,0.38969696969696965,0.0
bridges.version2.arff,TYPE,WoeEncoder,GradientBoostingClassifier,12,12,1.0799179077148438,0.22983074188232422,0.18838565349578856,0.00047233104705810545,0.009652500545434565,1.0,0.655892857142857,1.0,0.3573573612853779,9.21177691463218e-08
bridges.version2.arff,TYPE,WoeEncoder,RandomForestClassifier,12,12,1.0799179077148438,0.22983074188232422,0.8037912607192993,0.04796698093414307,0.003405720853953646,1.0,0.6680357142857144,1.0,0.24693625575757577,0.0009893626885332757
bridges.version2.arff,TYPE,WoeEncoder,MLPClassifier,12,12,1.0799179077148438,0.22983074188232422,0.1905371904373169,0.00015726089477539063,0.0,0.9180305168364743,0.5,0.9932269273935942,0.49803030303030305,0.04054231240371394
car.arff,class,BaseNEncoder,SGDClassifier,6,18,0.2660555362701416,0.04880068302154541,0.0023897409439086912,0.00010519027709960937,0.8479183106012723,0.8537855411887015,0.92415859541528,0.9310918640833481,0.06316761702400574,0.06031228533483983
car.arff,class,BaseNEncoder,LogisticRegression,6,18,0.2660555362701416,0.04880068302154541,0.029169154167175294,0.00013346672058105468,0.8900442086994469,0.8961196177831535,0.9909483564563779,0.9926633314761271,0.03276026984447594,0.030174963334102356
car.arff,class,BaseNEncoder,SVC,6,18,0.2660555362701416,0.04880068302154541,0.1688753366470337,0.0013961315155029297,0.9629717950221772,0.9713118440763395,0.9964695286887799,0.9975869516176686,0.014493668556819795,0.010245635316883174
car.arff,class,BaseNEncoder,KNeighborsClassifier,6,18,0.2660555362701416,0.04880068302154541,0.0045520544052124025,0.005653691291809082,0.8563428344985713,0.9396178205411875,0.9785901487104697,0.9931012752425987,0.06380360263476274,0.04273720067119087
car.arff,class,BaseNEncoder,GaussianNB,6,18,0.2660555362701416,0.04880068302154541,0.0012955904006958009,0.0004246234893798828,0.6993247797854873,0.7053667611965325,0.930565423880932,0.9337769298614251,0.1718104748436784,0.16633777485554413
car.arff,class,BaseNEncoder,DecisionTreeClassifier,6,18,0.2660555362701416,0.04880068302154541,0.0013444185256958007,0.0001451253890991211,0.7109827963994808,0.7395569858196662,0.9385556511224961,0.9462214213795146,0.08502451997838316,0.07911834522183273
car.arff,class,BaseNEncoder,GradientBoostingClassifier,6,18,0.2660555362701416,0.04880068302154541,0.6208655834197998,0.002359485626220703,0.9797562145206031,0.9964897218649232,0.9994275332510627,0.99997518506639,0.009447717751619449,0.004159707585783696
car.arff,class,BaseNEncoder,RandomForestClassifier,6,18,0.2660555362701416,0.04880068302154541,1.1851397275924682,0.061370682716369626,0.9328859846641089,1.0,0.9946577041496829,1.0,0.03753493347224089,0.005141918773506146
car.arff,class,BaseNEncoder,MLPClassifier,6,18,0.2660555362701416,0.04880068302154541,2.2500762939453125,0.000532841682434082,0.9919165112610567,0.9998470012096533,0.9997298156389064,1.0,0.004420298241435117,0.0006723912976374662
car.arff,class,OneHotEncoder,SGDClassifier,6,27,0.08815672397613525,0.05253522396087647,0.0028967857360839844,0.00015244483947753906,0.8543641983596469,0.8595826588530986,0.9293199892798822,0.9309193541114442,0.06024713428161328,0.057837679877649054
car.arff,class,OneHotEncoder,LogisticRegression,6,27,0.08815672397613525,0.05253522396087647,0.04512667655944824,0.00012745857238769532,0.8911725709505017,0.8963372506343475,0.9909963476808394,0.9926879632799238,0.03270720015747351,0.030041668760228447
car.arff,class,OneHotEncoder,SVC,6,27,0.08815672397613525,0.05253522396087647,0.1682894706726074,0.001650857925415039,0.9890894297860233,0.9926886376089531,0.9993165924984109,0.9998298175489486,0.004532767748281862,0.0030888496183008804
car.arff,class,OneHotEncoder,KNeighborsClassifier,6,27,0.08815672397613525,0.05253522396087647,0.004146766662597656,0.007096052169799805,0.7548214912940481,0.9081814638880015,0.938756497513182,0.9862211978683115,0.10324035488640945,0.06815148579505534
car.arff,class,OneHotEncoder,GaussianNB,6,27,0.08815672397613525,0.05253522396087647,0.0013647079467773438,0.0004601478576660156,0.7328076419325853,0.7315382139269107,0.9873228375902174,0.9896580670172245,0.14465317606005096,0.14467564295003157
